subject,t_start_s,t_end_s,mean_eda,temp,emg,acc_rms,hr,hrv,state
S2,0.0,60.0,0.5562006999999999,40.91316666666667,,1.0078439087190543,75.29411764705883,360.4372494018072,pozytywne
S2,30.0,90.0,0.8660890291666666,35.316500000000005,,1.0646793541276678,69.1891891891892,303.3038685089783,naturalne
S2,60.0,120.0,1.178368425,35.46583333333333,,1.0959303708048096,66.20689655172414,360.2512394086803,naturalne
S2,90.0,150.0,1.25020355,35.373000000000005,,1.0551521114811862,78.36734693877551,354.7688601142515,naturalne
S2,120.0,180.0,1.3539856749999999,35.20583333333334,,1.0002859379848288,80.0,386.270431401282,pozytywne
S2,150.0,210.0,1.5804767291666666,35.035666666666664,,0.983824430534714,76.8,293.85542753501835,pozytywne
S2,180.0,240.0,1.6672492,34.87616666666666,,0.9786045533038337,78.36734693877551,185.32642879139271,pozytywne
S2,210.0,270.0,1.5810530208333333,34.75383333333333,,0.9787878772626172,76.8,111.39819565637272,pozytywne
S2,240.0,300.0,1.4054893291666668,34.74516666666667,,0.9821731860469841,76.8,249.59053403883777,pozytywne
S2,270.0,330.0,1.169681266666667,34.88700000000001,,0.9839501833427746,76.8,429.08703629871115,pozytywne
S2,300.0,360.0,1.0456415875,35.08266666666667,,0.9784636454965927,78.36734693877551,287.29471695254045,pozytywne
S2,330.0,390.0,0.9968164583333333,35.216499999999996,,0.9748042371345029,76.8,233.71661445870487,pozytywne
S2,360.0,420.0,0.9566467208333334,35.33533333333333,,0.9772836645941582,75.29411764705883,203.42213767697817,pozytywne
S2,390.0,450.0,0.8630721875,35.43983333333333,,0.9829565677746624,76.8,192.3484325313898,pozytywne
S2,420.0,480.0,0.6983517583333333,35.45233333333333,,0.9862142480556876,78.36734693877551,216.45362636638015,pozytywne
S2,450.0,510.0,0.5944518583333332,35.557166666666674,,0.9824962212137749,76.8,247.80329031732083,pozytywne
S2,480.0,540.0,0.5335789625,35.76450000000001,,0.9799918447299317,75.29411764705883,218.12077150807917,pozytywne
S2,510.0,570.0,0.4971385666666667,35.86000000000001,,0.9800973619202519,80.0,129.8635786815628,pozytywne
S2,540.0,600.0,0.4628433708333333,35.88633333333333,,0.9795454945970535,80.0,88.24163885830275,pozytywne
S2,570.0,630.0,0.4901730541666666,35.91716666666666,,0.9809048732068298,76.8,130.74146807044156,pozytywne
S2,600.0,660.0,0.8568101500000002,35.894999999999996,,0.9824444657408039,75.29411764705883,221.59094848960785,pozytywne
S2,630.0,690.0,1.2418232416666668,35.81233333333333,,0.9811003972471267,76.8,204.74056681124316,pozytywne
S2,660.0,720.0,1.2660762833333332,35.764333333333326,,0.9804614488999659,80.0,158.35870944126808,pozytywne
S2,690.0,750.0,1.1454645541666666,35.76566666666666,,0.9803200006689361,78.36734693877551,176.7011320209971,pozytywne
S2,720.0,780.0,1.1724721916666667,35.77766666666666,,0.9790245860771059,75.29411764705883,105.85244767462268,pozytywne
S2,750.0,810.0,1.4021508208333333,35.735,,0.9781222968735075,75.29411764705883,206.06291450747318,pozytywne
S2,780.0,840.0,1.5196879749999999,35.6665,,0.9793407663902687,76.8,237.2894234771544,pozytywne
S2,810.0,870.0,1.5175096791666667,35.63966666666666,,0.9816321907676622,78.36734693877551,315.29206134325426,pozytywne
S2,840.0,900.0,1.4369299375,35.60850000000001,,0.9825429432039379,73.84615384615384,303.5625858794517,pozytywne
S2,870.0,930.0,1.4729086541666665,35.573,,0.985646987842104,73.84615384615384,361.9592959165981,pozytywne
S2,900.0,960.0,1.5623989791666666,35.57566666666666,,0.9884458229055216,72.45283018867924,400.1878333294328,pozytywne
S2,930.0,990.0,1.4783116250000001,35.515166666666666,,0.9889347637700941,71.77570093457943,331.86942229063897,pozytywne
S2,960.0,1020.0,1.5065114583333332,35.40933333333333,,0.986393313317166,72.45283018867924,249.70839304351097,pozytywne
S2,990.0,1050.0,1.7278088291666667,35.35766666666667,,0.9855509945337979,75.29411764705883,346.11331038956956,pozytywne
S2,1020.0,1080.0,1.7645945958333333,35.32366666666667,,0.9876291065302969,74.5631067961165,396.89715415476286,pozytywne
S2,1050.0,1110.0,1.5747847625,35.30316666666667,,0.9859984060224778,76.8,468.80274810052316,pozytywne
S2,1080.0,1140.0,1.4696240875000002,35.32450000000001,,0.9816376863815393,78.36734693877551,371.2221258832547,pozytywne
S2,1110.0,1170.0,1.4242608124999998,35.34916666666666,,0.9792384153757662,72.45283018867924,247.9238285189117,pozytywne
S2,1140.0,1200.0,1.2981457875,35.341833333333334,,0.978051481538239,71.11111111111111,266.9542002866137,pozytywne
S2,1170.0,1230.0,1.2031298458333335,35.357,,1.0365596286242507,79.17525773195877,374.50081764774717,stres
S2,1200.0,1260.0,1.1880535708333333,35.37199999999999,,1.0493635213268333,80.0,343.44448712436946,naturalne
S2,1230.0,1290.0,1.1359605416666667,35.31333333333334,,0.9998201206201581,80.0,380.26972000988366,pozytywne
S2,1260.0,1320.0,1.0928522125,35.20116666666666,,0.995347054104297,76.8,364.332299939273,pozytywne
